['CO[P@@](=O)(N)SC', '(-)']
['CO[P@@](N)(=O)SC', '(+)']
['C/C=C/[C@@H]1[C@@H](C=CC(=O)O1)OC(=O)C', '(-)']
['C/C=C/[C@@H]1OC(=O)C=C[C@@H]1OC(C)=O', '(+)']
['C1[C@@](C1(C2=CC=CC=C2)C3=CC=CC=C3)(C4=CC=C(C=C4)Br)C(=O)[O-].C1[C@@](C1(C2=CC=CC=C2)C3=CC=CC=C3)(C4=CC=C(C=C4)Br)C(=O)[O-].C1[C@@](C1(C2=CC=CC=C2)C3=CC=CC=C3)(C4=CC=C(C=C4)Br)C(=O)[O-].C1[C@@](C1(C2=CC=CC=C2)C3=CC=CC=C3)(C4=CC=C(C=C4)Br)C(=O)[O-].[Rh].[Rh]', '(+)']
['O=C([O+])[C@@]1(c2ccc(Br)cc2)CC1(c1ccccc1)c1ccccc1.O=C([O+])[C@@]1(c2ccc(Br)cc2)CC1(c1ccccc1)c1ccccc1.O=C([O+])[C@@]1(c2ccc(Br)cc2)CC1(c1ccccc1)c1ccccc1.O=C([O+])[C@@]1(c2ccc(Br)cc2)CC1(c1ccccc1)c1ccccc1.[Rh].[Rh]', '(-)']
['B1(OC(C(O1)(C)C)(C)C)C2=C[C@@H]3CC[C@]2(C3(C)C)C', '(-)']
['CC1(C)OB(C2=C[C@H]3CC[C@]2(C)C3(C)C)OC1(C)C', '(+)']
['CC(C)NC[C@@H](C1=CC(=CC=C1)O)O.Cl', '(-)']
['CC(C)NC[C@@H](O)c1cccc(O)c1.Cl', '(+)']
['C1CN(C[C@H]([C@@H]1C2=CC=C(C=C2)F)CO)CC3=CC=CC=C3.Cl', '(-)']
['Cl.OC[C@H]1CN(Cc2ccccc2)CC[C@@H]1c1ccc(F)cc1', '(+)']
['C[C@H]1C=C[C@@H](C[C@@H]1O)C(C)C', '(-)']
['CC(C)[C@@H]1C=C[C@@H](C)[C@H](O)C1', '(+)']
['CC1=CC[C@@](CC1=O)(C(=C)C)OC(=O)C', '(+)']
['C=C(C)[C@]1(OC(C)=O)CC=C(C)C(=O)C1', '(-)']
['CC(C)([C@H]1CC2=C(O1)C(=C3C(=C2)C=CC(=O)O3)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)COC(=O)/C=C/C5=CC(=C(C(=C5)OC)O)OC)O)O)O', '(+)']
['COc1cc(/C=C/C(=O)OC[C@@H]2O[C@H](OC(C)(C)[C@@H]3Cc4cc5ccc(=O)oc5c(O)c4O3)[C@@H](O)[C@H](O)[C@H]2O)cc(OC)c1O', '(-)']
['CC(C)[C@H]1C[C@H]([C@@H](C[C@@H]1O)O)O', '(+)']
['CC(C)[C@@H]1C[C@H](O)[C@@H](O)C[C@H]1O', '(-)']
['CC1=CC=C(C=C1)[C@@H](C)CCC=C', '(+)']
['C=CCC[C@@H](C)c1ccc(C)cc1', '(-)']
['CCOCCN1C2=CC=CC=C2N=C1N3CCCN(CC3)CC[C@@]4(CCN(C4)C(=O)C5=CC(=C(C(=C5)OC)OC)OC)C6=CC=CC=C6.Cl.Cl', '(+)']
['CCOCCn1c(N2CCCN(CC[C@@]3(c4ccccc4)CCN(C(=O)c4cc(OC)c(OC)c(OC)c4)C3)CC2)nc2ccccc21.Cl.Cl', '(-)']
['CC(C)[C@@H](C1=NC=CS1)NC(=O)[C@H](C(C)C)NC(=O)[C@H](CC2=CC=CC=C2)NC(=O)OC(C)(C)C', '(-)']
['CC(C)[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)OC(C)(C)C)C(=O)N[C@@H](c1nccs1)C(C)C', '(+)']
['C1CC(=O)O[C@H]1CC2=CC(=C(C(=C2)O)O[C@H]3[C@@H]([C@H]([C@@H]([C@H](O3)C(=O)O)O)O)O)O', '(-)']
['O=C1CC[C@@H](Cc2cc(O)c(O[C@H]3O[C@@H](C(=O)O)[C@H](O)[C@@H](O)[C@@H]3O)c(O)c2)O1', '(+)']
['CNC[C@@H](C1=CC(=C(C=C1)OS(=O)(=O)O)OC)O', '(-)']
['CNC[C@@H](O)c1ccc(OS(=O)(=O)O)c(OC)c1', '(+)']
['C1CC2=CC=CC=C2NC(=O)[C@H]1N.[C@@H]([C@H](C(=O)O)O)(C(=O)O)O', '(+)']
['N[C@@H]1CCc2ccccc2NC1=O.O=C(O)[C@@H](O)[C@H](O)C(=O)O', '(-)']
['CCN(CCC[C@@H](C)NC1=C2C=CC(=CC2=NC=C1)Cl)CCO.OP(=O)(O)O', '(-)']
['CCN(CCO)CCC[C@H](C)Nc1ccnc2cc(Cl)ccc12.O=P(O)(O)O', '(+)']
['CC1=CC=C(C=C1)C(C)C.CS(=O)(=O)N[C@@](CC1=CC=CC=C1)(C2=CC=CC=C2)N.Cl[Ru+]', '(-)']
['CS(=O)(=O)N[C@](N)(Cc1ccccc1)c1ccccc1.Cc1ccc(C(C)C)cc1.Cl[Ru+]', '(+)']
['C([C@@H]1[C@H]([C@@H]([C@@H]([C@H](O1)OP(=O)(O)O)O)O)O)O.[K]', '(+)']
['O=P(O)(O)O[C@@H]1O[C@@H](CO)[C@H](O)[C@@H](O)[C@H]1O.[K]', '(-)']
['CC(C)(C)C1=CC(=C(C(=C1)C(C)(C)C)[O-])C=N[C@H]2CCCC[C@@H]2N=CC3=C(C(=CC(=C3)C(C)(C)C)C(C)(C)C)[O-].[Co]', '(+)']
['CC(C)(C)c1cc(C=N[C@@H]2CCCC[C@H]2N=Cc2cc(C(C)(C)C)cc(C(C)(C)C)c2[O+])c([O+])c(C(C)(C)C)c1.[Co]', '(-)']
['C(CCC(=O)[O-])C[C@@H]([C@H](C(=O)[O-])O)C(=O)[O-]', '(-)']
['O=C([O+])CCCC[C@@H](C(=O)[O+])[C@H](O)C(=O)[O+]', '(+)']
['C[C@H]1CC[C@H]([C@]2([C@@]13C[C@]4(CCC([C@H]4[C@@H]3CC2)(C)C)C)C)O', '(+)']
['C[C@@H]1CC[C@H](O)[C@@]2(C)CC[C@@H]3[C@H]4C(C)(C)CC[C@@]4(C)C[C@@]132', '(-)']
['C[C@@H]1CC/C/2=C(/[C@H]3C[C@H]4[C@H](CC[C@@]4(C[C@@H]3/C(=C\\C[C@@H]12)/C)C)C(C)C)\\C', '(+)']
['C/C1=C/C[C@H]2/C(=C(/C)[C@@H]3C[C@@H]4[C@H](C(C)C)CC[C@@]4(C)C[C@@H]13)CC[C@@H]2C', '(-)']
['C/C/1=C\\C[C@@]2(CC[C@H]([C@H]2C/C=C(/C=C/C/C(=C/CC1)/C)\\C)C(C)C)C', '(-)']
['C/C1=C/C[C@@]2(C)CC[C@H](C(C)C)[C@@H]2C/C=C(C)/C=C/C/C(C)=C/CC1', '(+)']
['CC(C)(C=C)C1=C(C2=CC=CC=C2N1)/C=C\\3/C(=O)N4CC[C@H]([C@]4(C(=O)N3)O)O', '(-)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@@]2(O)[C@@H](O)CCN2C1=O', '(+)']
['CC(C)(C=C)C1=C(C2=CC=CC=C2N1)/C=C\\3/C(=O)N4CC[C@@H]([C@@]4(C(=O)N3)O)O', '(+)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@]2(O)[C@H](O)CCN2C1=O', '(-)']
['CC1=CC2=C(C(=C1)O)C(=O)C3=C4[C@]2(CC[C@]5(C4=C(C=C3O)OC)C(=O)N/C(=C\\C6=C(NC7=CC=CC=C76)C(C)(C)C=C)/C(=O)N5)O', '(-)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@]2(CC[C@]3(O)c4cc(C)cc(O)c4C(=O)c4c(O)cc(OC)c2c43)NC1=O', '(+)']
['CC1=CC(=C2C3=C1[C@@]4(CC[C@]3(C5=C(C2=O)C(=CC(=C5)OC)O)O)C(=O)N/C(=C\\C6=C(NC7=CC=CC=C76)C(C)(C)C=C)/C(=O)N4)O', '(+)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@]2(CC[C@]3(O)c4cc(OC)cc(O)c4C(=O)c4c(O)cc(C)c2c43)NC1=O', '(-)']
['CC1=CC(=C(C2=C1O[C@@]34C[C@@H]2[C@]5(N3C(=O)/C(=C/C6=C(NC7=CC=CC=C76)C(C)(C)C=C)/NC4=O)CC(=O)C=C(C5=O)OC)C(=O)OC)O', '(+)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@]23C[C@H](c4c(c(C)cc(O)c4C(=O)OC)O2)[C@]2(CC(=O)C=C(OC)C2=O)N3C1=O', '(-)']
['CC1=CC(=C2C3=C1O[C@]4(C=C3C5=C(C2=O)C(=CC(=C5)O)O)C(=O)N/C(=C\\C6=C(NC7=C(C=C(C=C67)CC=C(C)C)CC=C(C)C)C(C)(C)C=C)/C(=O)N4)O', '(+)']
['C=CC(C)(C)c1[nH]c2c(CC=C(C)C)cc(CC=C(C)C)cc2c1/C=C1\\NC(=O)[C@@]2(C=C3c4cc(O)cc(O)c4C(=O)c4c(O)cc(C)c(c43)O2)NC1=O', '(-)']
['CC1=CC(=C2C3=C1O[C@@]4(C=C3C5=C(C2=O)C(=CC(=C5)O)O)C(=O)N/C(=C\\C6=C(NC7=C(C=C(C=C67)CC=C(C)C)CC=C(C)C)C(C)(C)C=C)/C(=O)N4)O', '(-)']
['C=CC(C)(C)c1[nH]c2c(CC=C(C)C)cc(CC=C(C)C)cc2c1/C=C1\\NC(=O)[C@]2(C=C3c4cc(O)cc(O)c4C(=O)c4c(O)cc(C)c(c43)O2)NC1=O', '(+)']
['CC1=CC(=C(C(=O)C1(CC=C(C)C)CC=C(C)C)[C@@H]2C3=C(C=CC=C3OC)C(=O)N2)O', '(+)']
['COc1cccc2c1[C@H](C1=C(O)C=C(C)C(CC=C(C)C)(CC=C(C)C)C1=O)NC2=O', '(-)']
['CC1=CC(=C(C(=O)C1(CC=C(C)C)CC=C(C)C)[C@H]2C3=C(C=CC=C3OC)C(=O)N2)O', '(-)']
['COc1cccc2c1[C@@H](C1=C(O)C=C(C)C(CC=C(C)C)(CC=C(C)C)C1=O)NC2=O', '(+)']
['C[C@@H]1C=C[C@@H]2CCC3=C(C=C4C=CC(OC4=C3[C@@H]2O1)(C)C)O', '(-)']
['C[C@H]1C=C[C@H]2CCc3c(O)cc4c(c3[C@H]2O1)OC(C)(C)C=C4', '(+)']
['C[C@H]1C=C[C@H]2CCC3=C(C=C4C=CC(OC4=C3[C@H]2O1)(C)C)O', '(+)']
['C[C@@H]1C=C[C@@H]2CCc3c(O)cc4c(c3[C@@H]2O1)OC(C)(C)C=C4', '(-)']
['C[C@H]1[C@H]2CC[C@@H]3[C@H]2C4=C(C=C5C=CC(OC5=C4[C@H](O1)O3)(C)C)O', '(-)']
['C[C@H]1O[C@H]2O[C@H]3CC[C@@H]1[C@H]3c1c(O)cc3c(c12)OC(C)(C)C=C3', '(+)']
['C[C@@H]1[C@@H]2CC[C@H]3[C@@H]2C4=C(C=C5C=CC(OC5=C4[C@@H](O1)O3)(C)C)O', '(+)']
['C[C@@H]1O[C@@H]2O[C@@H]3CC[C@H]1[C@@H]3c1c(O)cc3c(c12)OC(C)(C)C=C3', '(-)']
['CC1=CC(=C(C2=C1O[C@]3([C@@H](C2)CC(=O)O3)C)O)C(=O)C', '(+)']
['CC(=O)c1cc(C)c2c(c1O)C[C@@H]1CC(=O)O[C@]1(C)O2', '(-)']
['CC1=CC(=C(C2=C1O[C@@]3([C@H](C2)CC(=O)O3)C)O)C(=O)C', '(-)']
['CC(=O)c1cc(C)c2c(c1O)C[C@H]1CC(=O)O[C@@]1(C)O2', '(+)']
['C[C@@H]1C(=O)N/C(=C\\C2=C(NC3=C(C=CC=C23)CC=C(C)C)C(C)(C)C=C)/C(=O)N1', '(+)']
['C=CC(C)(C)c1[nH]c2c(CC=C(C)C)cccc2c1/C=C1\\NC(=O)[C@H](C)NC1=O', '(-)']
['CC(=CCC1=C(C=CC(=C1)C(=O)C2=C(C(=O)O[C@@H]2OC)C3=CC=C(C=C3)O)O)C', '(-)']
['CO[C@@H]1OC(=O)C(c2ccc(O)cc2)=C1C(=O)c1ccc(O)c(CC=C(C)C)c1', '(+)']
['CC(=CCC1=C(C=CC(=C1)C(=O)C2=C(C(=O)O[C@H]2OC)C3=CC=C(C=C3)O)O)C', '(+)']
['CO[C@H]1OC(=O)C(c2ccc(O)cc2)=C1C(=O)c1ccc(O)c(CC=C(C)C)c1', '(-)']
['C1=CC=C2C(=C1)C(=CN2)[C@H](CO)C3=C(C4=CC=CC=C4N3)CCO', '(+)']
['OCCc1c([C@H](CO)c2c[nH]c3ccccc23)[nH]c2ccccc12', '(-)']
['C1=CC=C2C(=C1)C(=CN2)[C@@H](CO)C3=C(C4=CC=CC=C4N3)CCO', '(-)']
['OCCc1c([C@@H](CO)c2c[nH]c3ccccc23)[nH]c2ccccc12', '(+)']
['C[C@@](CCCC(C)(C)O)(C1=CC=C(C=C1)C(=O)O)O', '(-)']
['CC(C)(O)CCC[C@](C)(O)c1ccc(C(=O)O)cc1', '(+)']
['C1[C@H](C([C@@H](CC1(C(=O)O)O)O)OC(=O)/C=C/C2=CC(=C(C=C2)O[C@@H]3[C@H]([C@@H]([C@H]([C@@H](O3)CO)O)O)O)O)O', '(-)']
['O=C(/C=C/c1ccc(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)c(O)c1)O[C@H]1[C@@H](O)C[C@@](O)(C(=O)O)C[C@@H]1O', '(+)']
['C[C@H]1CC[C@@H]([C@@H]2[C@]1(CCC(=C2)CO)O)C(C)C', '(+)']
['CC(C)[C@@H]1CC[C@@H](C)[C@@]2(O)CCC(CO)=C[C@@H]12', '(-)']
['C[C@H]1C[C@]2([C@H](C=C1)CCC3=C(C=C(C(=C3C=O)O)CC=C(C)C)O)C(=O)N/C(=C\\C4=C(NC5=CC=CC=C54)C(C)(C)C=C)/C(=O)N2', '(-)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@]2(C[C@@H](C)C=C[C@H]2CCc2c(O)cc(CC=C(C)C)c(O)c2C=O)NC1=O', '(+)']
['C[C@@H]1C[C@@]2([C@@H](C=C1)CCC3=C(C=C(C(=C3C=O)O)CC=C(C)C)O)C(=O)N/C(=C\\C4=C(NC5=CC=CC=C54)C(C)(C)C=C)/C(=O)N2', '(+)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@@]2(C[C@H](C)C=C[C@@H]2CCc2c(O)cc(CC=C(C)C)c(O)c2C=O)NC1=O', '(-)']
['C[C@H]1C=C[C@H](C[C@@]12C(=O)N/C(=C\\C3=C(NC4=CC=CC=C43)C(C)(C)C=C)/C(=O)N2)CCC5=C(C=C(C(=C5C=O)O)CC=C(C)C)O', '(-)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@]2(C[C@@H](CCc3c(O)cc(CC=C(C)C)c(O)c3C=O)C=C[C@H]2C)NC1=O', '(+)']
['C[C@@H]1C=C[C@@H](C[C@]12C(=O)N/C(=C\\C3=C(NC4=CC=CC=C43)C(C)(C)C=C)/C(=O)N2)CCC5=C(C=C(C(=C5C=O)O)CC=C(C)C)O', '(+)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@@]2(C[C@H](CCc3c(O)cc(CC=C(C)C)c(O)c3C=O)C=C[C@@H]2C)NC1=O', '(-)']
['C[C@H]1C=C[C@H](C[C@]12C(=O)N/C(=C\\C3=C(NC4=CC=CC=C43)C(C)(C)C=C)/C(=O)N2)CCC5=C(C=C(C(=C5C=O)O)CC=C(C)C)O', '(-)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@@]2(C[C@@H](CCc3c(O)cc(CC=C(C)C)c(O)c3C=O)C=C[C@H]2C)NC1=O', '(+)']
['C[C@@H]1C=C[C@@H](C[C@@]12C(=O)N/C(=C\\C3=C(NC4=CC=CC=C43)C(C)(C)C=C)/C(=O)N2)CCC5=C(C=C(C(=C5C=O)O)CC=C(C)C)O', '(+)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@]2(C[C@H](CCc3c(O)cc(CC=C(C)C)c(O)c3C=O)C=C[C@@H]2C)NC1=O', '(-)']
['CC1=CC2=C3C(=C1)O[C@H]4C5=C(C=CC=C5OC)[C@@H](C3=C(C=C2)O)O4', '(-)']
['COc1cccc2c1[C@H]1Oc3cc(C)cc4ccc(O)c(c34)[C@@H]2O1', '(+)']
['CC1=CC2=C3C(=C1)O[C@@H]4C5=C(C=CC=C5OC)[C@H](C3=C(C=C2)O)O4', '(+)']
['COc1cccc2c1[C@@H]1Oc3cc(C)cc4ccc(O)c(c34)[C@H]2O1', '(-)']
['C[C@@H]1C(=O)N[C@](C(=O)N1OC)(CC2=CNC3=CC=CC=C32)OC', '(-)']
['CON1C(=O)[C@](Cc2c[nH]c3ccccc23)(OC)NC(=O)[C@@H]1C', '(+)']
['C[C@H]1C(=O)N[C@@](C(=O)N1OC)(CC2=CNC3=CC=CC=C32)OC', '(+)']
['CON1C(=O)[C@@](Cc2c[nH]c3ccccc23)(OC)NC(=O)[C@H]1C', '(-)']
['CON1[C@@H](C(=O)N[C@](C1=O)(CC2=CNC3=CC=CC=C32)SC)CO', '(-)']
['CON1C(=O)[C@](Cc2c[nH]c3ccccc23)(SC)NC(=O)[C@@H]1CO', '(+)']
['CON1[C@H](C(=O)N[C@@](C1=O)(CC2=CNC3=CC=CC=C32)SC)CO', '(+)']
['CON1C(=O)[C@@](Cc2c[nH]c3ccccc23)(SC)NC(=O)[C@H]1CO', '(-)']
['CON1[C@H](C(=O)N[C@](C1=O)(CC2=CNC3=CC=CC=C32)SC)CO', '(-)']
['CON1C(=O)[C@](Cc2c[nH]c3ccccc23)(SC)NC(=O)[C@H]1CO', '(+)']
['CON1[C@@H](C(=O)N[C@@](C1=O)(CC2=CNC3=CC=CC=C32)SC)CO', '(+)']
['CON1C(=O)[C@@](Cc2c[nH]c3ccccc23)(SC)NC(=O)[C@@H]1CO', '(-)']
['CCO[C@]12CCCN1C(=O)/C(=C/C3=C(NC4=CC=CC=C43)C(C)(C)C=C)/NC2=O', '(-)']
['C=CC(C)(C)c1[nH]c2ccccc2c1/C=C1\\NC(=O)[C@]2(OCC)CCCN2C1=O', '(+)']
['CCO[C@@]12CCCN1C(=O)/C(=C/C3=C(NC4=CC=CC=C43)C(C)(C)C=C)/NC2=O', '(+)']
