['N[C@@H](C(O)=O)C1=CSC=C1', 'https://www.chemspider.com/Chemical-Structure.21331178.html?rid=e23ce5e7-be8a-4891-9273-29beff4f2caa\\n', '-']
['O[C@H](C(O)=O)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.388690.html?rid=58e9bc0a-b2a4-4ce1-a85c-c9d68194ea4a\\n', '+']
['COC(=O)[C@@H](O)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.558706.html?rid=b2d1c76e-7a4f-41d6-b3d8-c8475bbdc796\\n', '+']
['CC(=O)O[C@@H](C(O)=O)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.2015584.html?rid=0850aa0d-0fb3-4c59-9632-2da6aee78495\\n', '-']
['CN[C@@H](C)[C@H](O)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.8935.html?rid=0ff84eb6-78a0-42b8-84ef-a2387e2777e8\\n', '-']
['N[C@H](CC1=CC=C(O)C=C1)C(O)=O', 'https://www.chemspider.com/Chemical-Structure.64252.html?rid=221df01e-2503-4993-81e0-1250fbef56a0\\n', '-']
['CN1CCC[C@H]1C1=CN=CC=C1', 'https://www.chemspider.com/Chemical-Structure.80863.html?rid=ae3838bf-4888-464b-ac30-247b1d1630ca\\n', '-']
['CC(C)NC[C@H](O)COC1=CC=C(CC(N)=O)C=C1', 'https://www.chemspider.com/Chemical-Structure.152937.html?rid=8f3c59ee-079c-4d2d-9ab7-be658b54ea14\\n', '-']
['CC(C)NC[C@H](O)COC1=CC=CC2=C1C=CN2', 'https://www.chemspider.com/Chemical-Structure.599584.html?rid=ed99bd5c-9b63-4796-9860-14d4b61333da\\n', '-']
['CC(C)NC[C@H](O)C1=CC=C(NS(C)(=O)=O)C=C1', 'https://www.chemspider.com/Chemical-Structure.4809791.html?rid=c3be5093-516a-4f05-a50d-d27fc8b5ffd3\\n', '-']
['CN1C2CCC1CC(C2)OC(=O)[C@@H](CO)C1=CC=CC=C1', 'https://www.chemspider.com/Chemical-Structure.24053.html?rid=feb546fb-80f3-4063-891f-75ae2efd465d\\n', '+']
